通用名称	剂型		超药品说明书内容						证据等级及依据			推荐意见		
			适应证			用法用量								
"阿米卡星
阿奇霉素
氨曲南
奥硝唑"		"注射剂
片剂、注射剂
注射剂
胶囊剂"		"非结核分枝杆菌感染（HIV
患者播散性鸟分枝杆菌复合群感染、严重脓肿分枝杆菌播散性感染和偶然分枝杆菌感染等）
细菌性脑膜炎
囊性肺纤维化
支气管扩张症
-
预防克罗恩病术后复发"			"-
15 mg/kg，q8 h
-
-
吸入治疗囊性肺纤维化合并铜绿假单胞菌感染
每次0.5 g，每次12 h"			"5 级：①NIH/CDC/IDSA 指南：艾滋病病毒感
染的成人和儿童机会性感染的预防和治
疗（2014）；英文最新版：Mycobacterium Avium Complex Disease（2019）（C-Ⅲ）；
Ⓒ热病（新译 48 版）［1］P148；Ⓒ中华医学
会结核病学分会. 非结核分枝杆菌病诊断与治疗指南（2020）. 中华结核和呼吸杂志，2020
1 级：FDA 已批准阿米卡星用于成人细菌性脑膜炎
3 级：治疗有效，Micromedex 有效性等级Ⅰ，推荐等级Ⅱb，证据强度B
2 级：欧洲囊性纤维化学会 .ECFS 最佳实践指南（2018）P10
3 级：见参考文献［2］
4 级：证据支持有效，Micromedex 有效性等级Ⅱa，推荐等级Ⅱb，证据强度B
3 级：①欧洲呼吸学会.ERS 成人支气管扩张
症治疗指南（2017）P11（有条件的推荐）；
Ⓒ热病（新译48版）［1］P38
1 级：FDA 已批准吸入氨曲南用于治疗合并铜绿假单胞菌感染的囊性肺纤维化
3 级：治疗有效，Micromedex 有效性等级Ⅰ，推荐等级Ⅱb，证据强度B
5 级：见参考文献［3］
2 级：美国结肠和直肠外科医师学会克罗恩病外科治疗临床实践指南（2020）P1042
5 级：①见参考文献［3］；ⒸECCO. 2016 克罗
恩病诊治欧洲循证共识意见（第二部分）：
外科治疗和特殊情况的处理"			"某些情况
下推荐
推荐
推荐
推荐
推荐
推荐"	
